date,date_pretty,day_description,evening_name,rcl_track_1,rcl_track_2,morning_prayers_together,evening_prayers_together
2025/08/16,"Saturday, August 16, 2025",Week of 19th Sunday in Ordinary Time,,,,Psalm 42; Ezekiel 36:16–36; James 5:7–end,Psalm 46; 1 Samuel 17:55–18:16; Luke 24:36–end
2025/08/17,"Sunday, August 17, 2025",20th Sunday in Ordinary Time,,Psalm 82; Jeremiah 23:23-29; Hebrews 11:29-12:2; Luke 12:49-56,"Psalm 80:1-2,9-20*; Isaiah 5:1-7; Hebrews 11:29-12:2; Luke 12:49-56",Psalm 119:33-48; Jonah 1; 2 Peter 3:14-18,Psalm 119:17-32*; Isaiah 28:9-22; 2 Corinthians 8:1-9
2025/08/18,"Monday, August 18, 2025",Week of 20th Sunday in Ordinary Time,,,,Psalm 44; Ezekiel 37:1–14; Mark 1:1–13,Psalm 47; 1 Samuel 19:1–18; Acts 1:1–14
2025/08/19,"Tuesday, August 19, 2025",Week of 20th Sunday in Ordinary Time,,,,Psalm 48; Ezekiel 37:15–end; Mark 1:14–20,Psalm 50; 1 Samuel 20:1–17; Acts 1:15–end
2025/08/20,"Wednesday, August 20, 2025",Week of 20th Sunday in Ordinary Time,,,,Psalm 119:57-80; Ezekiel 39:21–end; Mark 1:21–28,Psalm 59; 1 Samuel 20:18–end; Acts 2:1–21
2025/08/21,"Thursday, August 21, 2025",Week of 20th Sunday in Ordinary Time,,,,Psalm 57; Ezekiel 43:1–12; Mark 1:29–end,Psalm 62; 1 Samuel 21:1–22:5; Acts 2:22–36
2025/08/22,"Friday, August 22, 2025",Week of 20th Sunday in Ordinary Time,,,,Psalm 51; Ezekiel 44:4–16; Mark 2:1–12,Psalm 38; 1 Samuel 22:6–end; Acts 2:37–end
2025/08/23,"Saturday, August 23, 2025",Week of 20th Sunday in Ordinary Time,Eve of St Bartholomew,,,Psalm 68; Ezekiel 47:1–12; Mark 2:13–22,Psalm 97; Isaiah 61:1-9; 2 Corinthians 6:1-10
2025/08/24,"Sunday, August 24, 2025",St Bartholomew the Apostle,,Psalm 103:1-8; Isaiah 58:9b-14; Hebrews 12:18-29; Luke 13:10-17,Psalm 71:1-6; Jeremiah 1:4-10; Hebrews 12:18-29; Luke 13:10-17,"Psalm 86,117; Genesis 28:10-17; John 1:43-51","Psalm 91,116; Deuteronomy 18:15-19; Matthew 10:1-22"
2025/08/25,"Monday, August 25, 2025",Week of 21st Sunday in Ordinary Time,,,,Psalm 71; Proverbs 1:1–19; Mark 2:23–3:6,Psalm 72; 1 Samuel 24; Acts 3:11–end
