date,date_pretty,day_description,morning_prayers_together,evening_prayers_together
2022/03/24,"Thursday, March 24, 2022",Week of 3rd Sunday of Lent,Psalm 56; Genesis 49:33–end; Genesis 50; Hebrews 7:1–10,Psalm 85; Genesis 3:8-15; Galatians 4:1-5
2022/03/25,"Friday, March 25, 2022",The Annunciation,"Psalm 111,113; 1 Samuel 2:1-10; Romans 5:12-21","Psalm 131,146; Isaiah 52:1-12; Hebrews 2:5-18"
2022/03/26,"Saturday, March 26, 2022",Week of 3rd Sunday of Lent,Psalm 31; Exodus 1:22–2:10; Hebrews 8,Psalm 116; Jeremiah 16:10–17:4; John 9:1–17
2022/03/27,"Sunday, March 27, 2022",4th Sunday of Lent,"Psalm 84,85; Genesis 37:3-4,12-36; 1 Peter 2:16-25",Psalm 30; Isaiah 40:27–41:13; 2 Timothy 4:1-18
2022/03/28,"Monday, March 28, 2022",Week of 4th Sunday of Lent,Psalm 77; Exodus 2:11–22; Hebrews 9:1–14,Psalm 25; Jeremiah 17:5–18; John 9:18–end
2022/03/29,"Tuesday, March 29, 2022",Week of 4th Sunday of Lent,Psalm 79; Exodus 2:23–3:20; Hebrews 9:15–end,Psalm 80; Jeremiah 18:1–12; John 10:1–10
2022/03/30,"Wednesday, March 30, 2022",Week of 4th Sunday of Lent,Psalm 90; Exodus 4:1–23; Hebrews 10:1–18,Psalm 91; Jeremiah 18:13–end; John 10:11–21
2022/03/31,"Thursday, March 31, 2022",Week of 4th Sunday of Lent,Psalm 86; Exodus 4:27–6:1; Hebrews 10:19–25,Psalm 94; Jeremiah 19:1–13; John 10:22–end
2022/04/01,"Friday, April 1, 2022",Week of 4th Sunday of Lent,Psalm 102; Exodus 6:2–13; Hebrews 10:26–end,Psalm 16; Jeremiah 19:14–20:6; John 11:1–16
2022/04/02,"Saturday, April 2, 2022",Week of 4th Sunday of Lent,Psalm 32; Exodus 7:8–end; Hebrews 11:1–16,Psalm 140; Jeremiah 20:7–end; John 11:17–27
2022/04/03,"Sunday, April 3, 2022",5th Sunday of Lent - Passion Sunday,"Psalm 111,112; Isaiah 35:1-10; Romans 7:21–8:4","Psalm 35; 2 Chronicles 35:1-6,10-16; Luke 22:1-13"
2022/04/04,"Monday, April 4, 2022",Week of 5th Sunday of Lent,Psalm 73; Exodus 8:1–19; Hebrews 11:17–31,Psalm 26; Jeremiah 21:1–10; John 11:28–44
2022/04/05,"Tuesday, April 5, 2022",Week of 5th Sunday of Lent,Psalm 35; Exodus 8:20–end; Hebrews 11:32–12:2,"Psalm 61; Jeremiah 22:1–5,22:13–19; John 11:45–end"
2022/04/06,"Wednesday, April 6, 2022",Week of 5th Sunday of Lent,Psalm 55; Exodus 9:1–12; Hebrews 12:3–13,Psalm 62; Jeremiah 22:20–23:8; John 12:1–11
2022/04/07,"Thursday, April 7, 2022",Week of 5th Sunday of Lent,Psalm 40; Exodus 9:13–end; Hebrews 12:14–end,Psalm 43; Jeremiah 23:9–32; John 12:12–19
2022/04/08,"Friday, April 8, 2022",Week of 5th Sunday of Lent,Psalm 22; Exodus 10; Hebrews 13:1–16,Psalm 31; Jeremiah 24; John 12:20–36a
2022/04/09,"Saturday, April 9, 2022",Week of 5th Sunday of Lent,Psalm 23; Exodus 11; Hebrews 13:17–end,Psalm 130; Jeremiah 25:1–14; John 12:36b–end
2022/04/10,"Sunday, April 10, 2022",6th Sunday of Lent - Palm Sunday,"Psalm 61,62; Zechariah 9:9-12; 1 Corinthians 2:1-12",Psalm 69:1-19; Isaiah 5:1-7; Mark 12:1-12
2022/04/11,"Monday, April 11, 2022",Monday in Holy Week,Psalm 41; Lamentations 1:1-12a; Luke 22:1-23,Psalm 25; Lamentations 2:8-19; Colossians 1:18-23
2022/04/12,"Tuesday, April 12, 2022",Tuesday in Holy Week,Psalm 27; Lamentations 3:1-18; Luke 22:24-53,Psalm 55:13-24; Lamentations 3:40-51; Galatians 6:11-18
2022/04/13,"Wednesday, April 13, 2022",Wednesday in Holy Week,Psalm 102*; Jeremiah 11:18-20; Luke 22:54-71,Psalm 88; Isaiah 63:1-9; Revelation 14:18-end; Revelation 15:1-4
2022/04/14,"Thursday, April 14, 2022",Maundy Thursday,"Psalm 42,43; Leviticus 16:2-24; Luke 23:1-25",Psalm 39; Exodus 11; Ephesians 2:11-18
2022/04/15,"Friday, April 15, 2022",Good Friday,Psalm 69; Genesis 22:1-18; Hebrews 10:1-10,"Psalm 130,143; Lamentations 5:15-22; Colossians 1:18-23; John 19:38-end"
2022/04/16,"Saturday, April 16, 2022",Holy Saturday,Psalm 142; Hosea 6:1-6; John 2:18-22,Psalm 116; Job 19:21-27; 1 John 5:5-12
2022/04/17,"Sunday, April 17, 2022",Easter Sunday,"Psalm 114,117; Ezekiel 47:1-12; John 2:13-22",Psalm 105; Isaiah 43:1-21; 1 Corinthians 15:1-11
2022/04/18,"Monday, April 18, 2022",Monday in Easter Week,Psalm 111; Exodus 12:1–14; 1 Corinthians 15:1–11,Psalm 135; Song of Solomon 1:9–2:7; Mark 16:1–8
2022/04/19,"Tuesday, April 19, 2022",Tuesday in Easter Week,Psalm 112; Exodus 12:14–36; 1 Corinthians 15:12–19,Psalm 136; Song of Solomon 2:8–end; Luke 24:1–12
