Rule class order,Rule set name,RuleType,row (within class),extra data,feast / season type,evening name,day name,Is Seasonal Time,ByDayOfWeek-RclYear,ByDayOfWeek-Weekday,ByDayOfMonth-Year,ByDayOfMonth-Month,ByDayOfMonth-Day,OT1,OT2a,OT2b,NT1,NT2,Morning apoc.,Morning OT,Morning OT alt,Morning NT,Morning NT alt,Evening apoc.,Evening OT,Evening OT alt,Evening NT,Evening NT alt.,Evening gospel for communion,M Psalm main,M Psalm optional,M Psalm alt.,M omitted if canticle,E Psalm main,E Psalm optional,E Psalm alt.,E omitted if canticle,RclTrack1-NameOverride,RclTrack1-FullNameOverride,RclTrack1-Note,RclTrack1-Other,RclTrack1-Apoc,RclTrack1-OT,RclTrack1-OT-alt,RclTrack1-Psalm,RclTrack1-Psalm-alt,RclTrack1-Canticle,RclTrack1-ApocCanticle,RclTrack1-NT,RclTrack1-NT-alt,RclTrack1-Gospel,RclTrack1-Gospel-alt,RclTrack2-NameOverride,RclTrack2-FullNameOverride,RclTrack2-Note,RclTrack2-Other,RclTrack2-Apoc,RclTrack2-OT,RclTrack2-OT-alt,RclTrack2-Psalm,RclTrack2-Psalm-alt,RclTrack2-Canticle,RclTrack2-Apoc-Canticle,RclTrack2-NT,RclTrack2-NT-alt,RclTrack2-Gospel,RclTrack2-Gospel-alt,RclTrack3-NameOverride,RclTrack3-FullNameOverride,RclTrack3-Note,RclTrack3-Other,RclTrack3-Apoc,RclTrack3-OT,RclTrack3-OT-alt,RclTrack3-Psalm,RclTrack3-Psalm-alt,RclTrack3-Canticle,RclTrack3-Apoc-Canticle,RclTrack3-NT,RclTrack3-NT-alt,RclTrack3-Gospel,RclTrack2-Gospel-alt
1,BaseAdvent,ByDayOfWeek,43,,,,Week of 1st Sunday of Christmas,TRUE,,Th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BaseAdvent,ByDayOfWeek,44,,,,Week of 1st Sunday of Christmas,TRUE,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BaseAdvent,ByDayOfWeek,45,,,,Week of 1st Sunday of Christmas,TRUE,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BaseAdvent,ByDayOfWeek,46,,,,2nd Sunday of Christmas,TRUE,A,Su,,,,,,,,,,Jeremiah 31:15-17,,2 Corinthians 1:3-12,,,Isaiah 41:21 - 42:4,,Colossians 1:1-14,,Matthew 2:13-23,87,,,,135*,,,,,,,,Ecclesiasticus 24:1-12,Jeremiah 31:7-14,,147:13-21,,,Canticle: Wisdom of Solomon 10:15-21,Ephesians 1:3-14,,"John 1:(1-9),10-18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BaseAdvent,ByDayOfWeek,47,,,,2nd Sunday of Christmas,TRUE,B,Su,,,,,,,,,,Zechariah 8:1-8,,Luke 2:41-52,,,Isaiah 46:3-13,,Romans 12:1-8,,Matthew 2:13-23,87,,,,135*,,,,,,,,Ecclesiasticus 24:1-12,Jeremiah 31:7-14,,147:13-21,,,Canticle: Wisdom of Solomon 10:15-21,Ephesians 1:3-14,,"John 1:(1-9),10-18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BaseAdvent,ByDayOfWeek,48,,,,2nd Sunday of Christmas,TRUE,C,Su,,,,,,,,,,Isaiah 12,,1 Thessalonians 2:1-8,,,1 Samuel 1:20-28,,1 John 4:7-16,,Matthew 2:13-23,87,,,,135*,,,,,,,,Ecclesiasticus 24:1-12,Jeremiah 31:7-14,,147:13-21,,,Canticle: Wisdom of Solomon 10:15-21,Ephesians 1:3-14,,"John 1:(1-9),10-18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BaseAdvent,ByDayOfWeek,49,,,,Week of 2nd Sunday of Christmas,TRUE,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BaseAdvent,ByDayOfWeek,50,,,,Week of 2nd Sunday of Christmas,TRUE,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BaseAdvent,ByDayOfWeek,51,,,,Week of 2nd Sunday of Christmas,TRUE,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BaseAdvent,ByDayOfWeek,52,,,,Week of 2nd Sunday of Christmas,TRUE,,Th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BaseAdvent,ByDayOfWeek,53,,,,Week of 2nd Sunday of Christmas,TRUE,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BaseAdvent,ByDayOfWeek,54,,,,Week of 2nd Sunday of Christmas,TRUE,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
